jaspar_matrix	jaspar_id	uniprot_id
MA0002.2	RUNX1	Q01196
MA0003.4	TFAP2A	P05549
MA0004.1	Arnt	P53762
MA0006.1	Ahr::Arnt	P30561
MA0006.1	Ahr::Arnt	P53762
MA0007.3	Ar	P19091
MA0009.2	TBXT	O15178
MA0014.3	PAX5	Q02548
MA0017.2	NR2F1	P10589
MA0018.4	CREB1	P16220
MA0019.1	Ddit3::Cebpa	Q62857
MA0019.1	Ddit3::Cebpa	P05554
MA0024.3	E2F1	Q01094
MA0025.2	NFIL3	Q16649
MA0027.2	EN1	Q05925
MA0028.2	ELK1	P19419
MA0029.1	Mecom	A4QPC8
MA0030.1	FOXF2	Q12947
MA0031.1	FOXD1	Q16676
MA0032.2	FOXC1	Q12948
MA0033.2	FOXL1	Q12952
MA0035.4	GATA1	P15976
MA0036.3	GATA2	P23769
MA0037.3	GATA3	P23771
MA0038.2	GFI1	Q99684
MA0039.4	KLF4	O43474
MA0040.1	Foxq1	Q63244
MA0041.1	Foxd3	Q63245
MA0042.2	FOXI1	Q12951
MA0043.3	HLF	Q16534
MA0046.2	HNF1A	P20823
MA0047.3	FOXA2	Q9Y261
MA0048.2	NHLH1	Q02575
MA0050.2	IRF1	P10914
MA0051.1	IRF2	P14316
MA0052.4	MEF2A	Q02078
MA0056.2	MZF1	P28698
MA0057.1	MZF1(var.2)	P28698
MA0058.3	MAX	P61244
MA0059.1	MAX::MYC	P61244
MA0059.1	MAX::MYC	P01106
MA0060.3	NFYA	P23511
MA0062.3	GABPA	Q06546
MA0063.2	NKX2-5	P52952
MA0065.2	Pparg::Rxra	P37238
MA0065.2	Pparg::Rxra	P28700
MA0066.1	PPARG	P37231
MA0067.1	Pax2	P32114
MA0068.2	PAX4	O43316
MA0069.1	PAX6	P26367
MA0070.1	PBX1	P40424
MA0071.1	RORA	P35398
MA0072.1	RORA(var.2)	P35398
MA0073.1	RREB1	Q92766
MA0074.1	RXRA::VDR	P19793
MA0074.1	RXRA::VDR	P11473
MA0075.3	PRRX2	Q99811
MA0076.2	ELK4	P28324
MA0077.1	SOX9	P48436
MA0078.1	Sox17	Q61473
MA0079.4	SP1	P08047
MA0080.5	SPI1	P17947
MA0081.2	SPIB	Q01892
MA0083.3	SRF	P11831
MA0084.1	SRY	Q05066
MA0087.1	Sox5	P35710
MA0088.2	ZNF143	P52747
MA0089.2	NFE2L1	Q14494
MA0090.3	TEAD1	P28347
MA0091.1	TAL1::TCF3	P17542
MA0091.1	TAL1::TCF3	P15923
MA0092.1	Hand1::Tcf3	Q64279
MA0092.1	Hand1::Tcf3	P15806
MA0093.3	USF1	P22415
MA0095.2	YY1	P25490
MA0098.3	ETS1	P14921
MA0099.3	FOS::JUN	P01100
MA0099.3	FOS::JUN	P05412
MA0100.3	MYB	P10242
MA0101.1	REL	Q04864
MA0102.4	CEBPA	P49715
MA0103.3	ZEB1	P37275
MA0104.4	MYCN	P04198
MA0105.4	NFKB1	P19838
MA0106.3	TP53	P04637
MA0107.1	RELA	Q04206
MA0108.2	TBP	P20226
MA0109.1	HLTF	Q95216
MA0111.1	Spz1	Q99MY0
MA0112.3	ESR1	P03372
MA0113.3	NR3C1	P04150
MA0114.4	HNF4A	P41235
MA0115.1	NR1H2::RXRA	P55055
MA0115.1	NR1H2::RXRA	P19793
MA0116.1	Znf423	O08961
MA0117.2	Mafb	P54841
MA0119.1	NFIC::TLX1	P08651
MA0119.1	NFIC::TLX1	P31314
MA0122.3	Nkx3-2	P97503
MA0124.2	Nkx3-1	P97436
MA0125.1	Nobox	Q8VIH1
MA0130.1	ZNF354C	Q86Y25
MA0131.2	HINFP	Q9BQA5
MA0132.2	PDX1	P52945
MA0135.1	Lhx3	P50481
MA0136.2	ELF5	Q9UKW6
MA0137.3	STAT1	P42224
MA0138.2	REST	Q13127
MA0139.1	CTCF	P49711
MA0140.2	GATA1::TAL1	P15976
MA0140.2	GATA1::TAL1	P17542
MA0141.3	ESRRB	O95718
MA0142.1	Pou5f1::Sox2	P20263
MA0142.1	Pou5f1::Sox2	P48432
MA0143.4	SOX2	P48431
MA0144.2	STAT3	P40763
MA0145.3	TFCP2	Q12800
MA0146.2	Zfx	P17012
MA0147.3	MYC	P01106
MA0148.4	FOXA1	P55317
MA0149.1	EWSR1-FLI1	F1JVV7
MA0149.1	EWSR1-FLI1	F1JVV8
MA0150.2	Nfe2l2	Q60795
MA0151.1	Arid3a	Q62431
MA0152.1	NFATC2	Q13469
MA0153.2	HNF1B	P35680
MA0154.4	EBF1	Q9UH73
MA0155.1	INSM1	Q01101
MA0156.2	FEV	Q99581
MA0157.2	FOXO3	O43524
MA0158.2	HOXA5	P20719
MA0159.1	RARA::RXRA	P10276
MA0159.1	RARA::RXRA	P19793
MA0160.1	NR4A2	P43354
MA0161.2	NFIC	P08651
MA0162.4	EGR1	P18146
MA0163.1	PLAG1	Q6DJT9
MA0164.1	Nr2e3	Q9QXZ7
MA0258.2	ESR2	Q92731
MA0259.1	ARNT::HIF1A	P27540
MA0259.1	ARNT::HIF1A	Q16665
MA0442.2	SOX10	P56693
MA0461.2	Atoh1	P48985
MA0462.2	BATF::JUN	Q16520
MA0462.2	BATF::JUN	P05412
MA0463.2	BCL6	P41182
MA0464.2	BHLHE40	O14503
MA0465.2	CDX2	Q99626
MA0466.2	CEBPB	P17676
MA0467.1	Crx	O54751
MA0468.1	DUX4	Q9UBX2
MA0469.3	E2F3	O00716
MA0470.2	E2F4	Q16254
MA0471.2	E2F6	O75461
MA0472.2	EGR2	P11161
MA0473.3	ELF1	P32519
MA0474.2	ERG	P11308
MA0475.2	FLI1	Q01543
MA0476.1	FOS	P01100
MA0477.2	FOSL1	P15407
MA0478.1	FOSL2	P15408
MA0479.1	FOXH1	O75593
MA0480.1	Foxo1	Q9R1E0
MA0481.3	FOXP1	Q9H334
MA0482.2	GATA4	P43694
MA0483.1	Gfi1b	O70237
MA0484.2	HNF4G	Q14541
MA0485.2	HOXC9	P31274
MA0486.2	HSF1	Q00613
MA0488.1	JUN	P05412
MA0489.1	JUN(var.2)	P05412
MA0490.2	JUNB	P17275
MA0491.2	JUND	P17535
MA0492.1	JUND(var.2)	P17535
MA0493.1	Klf1	P46099
MA0494.1	Nr1h3::Rxra	Q9Z0Y9
MA0494.1	Nr1h3::Rxra	P28700
MA0495.3	MAFF	Q9ULX9
MA0496.3	MAFK	O60675
MA0497.1	MEF2C	Q06413
MA0498.2	MEIS1	O00470
MA0499.2	MYOD1	P15172
MA0500.2	MYOG	P15173
MA0501.1	MAF::NFE2	O75444
MA0501.1	MAF::NFE2	Q16621
MA0502.2	NFYB	P25208
MA0503.1	Nkx2-5(var.2)	P42582
MA0504.1	NR2C2	P49116
MA0505.1	Nr5a2	P45448
MA0506.1	NRF1	Q16656
MA0507.1	POU2F2	P09086
MA0508.3	PRDM1	O75626
MA0509.2	RFX1	P48743
MA0510.2	RFX5	P48382
MA0511.2	RUNX2	Q13950
MA0512.2	Rxra	P28700
MA0513.1	SMAD2::SMAD3::SMAD4	Q15796
MA0513.1	SMAD2::SMAD3::SMAD4	P84022
MA0513.1	SMAD2::SMAD3::SMAD4	Q13485
MA0514.1	Sox3	P53784
MA0515.1	Sox6	P40645
MA0516.2	SP2	Q02086
MA0517.1	STAT1::STAT2	P42224
MA0517.1	STAT1::STAT2	P52630
MA0518.1	Stat4	P42228
MA0519.1	Stat5a::Stat5b	P42230
MA0519.1	Stat5a::Stat5b	P42232
MA0520.1	Stat6	P52633
MA0521.1	Tcf12	Q61286
MA0522.3	TCF3	P15923
MA0523.1	TCF7L2	Q9NQB0
MA0524.2	TFAP2C	Q92754
MA0525.2	TP63	Q9H3D4
MA0526.3	USF2	Q15853
MA0527.1	ZBTB33	Q86T24
MA0528.2	ZNF263	O14978
MA0591.1	Bach1::Mafk	P97302
MA0591.1	Bach1::Mafk	Q61827
MA0592.3	ESRRA	P11474
MA0593.1	FOXP2	O15409
MA0594.2	HOXA9	P31269
MA0595.1	SREBF1	P36956
MA0596.1	SREBF2	Q12772
MA0597.1	THAP1	Q9NVV9
MA0598.3	EHF	Q9NZC4
