jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0002.2	RUNX1	Q01196	RUNX1
MA0003.4	TFAP2A	P05549	TFAP2A
MA0004.1	Arnt	P53762	Arnt
MA0006.1	Ahr::Arnt	P30561	Ahr
MA0006.1	Ahr::Arnt	P53762	Arnt
MA0007.3	Ar	P19091	Ar
MA0009.2	TBXT	O15178	TBXT
MA0014.3	PAX5	Q02548	PAX5
MA0017.2	NR2F1	P10589	NR2F1
MA0018.4	CREB1	P16220	CREB1
MA0019.1	Ddit3::Cebpa	Q62857	Ddit3
MA0019.1	Ddit3::Cebpa	P05554	Cebpa
MA0024.3	E2F1	Q01094	E2F1
MA0025.2	NFIL3	Q16649	NFIL3
MA0027.2	EN1	Q05925	EN1
MA0028.2	ELK1	P19419	ELK1
MA0029.1	Mecom	A4QPC8	Mecom
MA0030.1	FOXF2	Q12947	FOXF2
MA0031.1	FOXD1	Q16676	FOXD1
MA0032.2	FOXC1	Q12948	FOXC1
MA0033.2	FOXL1	Q12952	FOXL1
MA0035.4	GATA1	P15976	GATA1
MA0036.3	GATA2	P23769	GATA2
MA0037.3	GATA3	P23771	GATA3
MA0038.2	GFI1	Q99684	GFI1
MA0039.4	KLF4	O43474	KLF4
MA0040.1	Foxq1	Q63244	Foxq1
MA0041.1	Foxd3	Q63245	Foxd3
MA0042.2	FOXI1	Q12951	FOXI1
MA0043.3	HLF	Q16534	HLF
MA0046.2	HNF1A	P20823	HNF1A
MA0047.3	FOXA2	Q9Y261	FOXA2
MA0048.2	NHLH1	Q02575	NHLH1
MA0050.2	IRF1	P10914	IRF1
MA0051.1	IRF2	P14316	IRF2
MA0052.4	MEF2A	Q02078	MEF2A
MA0056.2	MZF1	P28698	MZF1
MA0057.1	MZF1(var.2)	P28698	MZF1
MA0058.3	MAX	P61244	MAX
MA0059.1	MAX::MYC	P61244	MAX
MA0059.1	MAX::MYC	P01106	MYC
MA0060.3	NFYA	P23511	NFYA
MA0062.3	GABPA	Q06546	GABPA
MA0063.2	NKX2-5	P52952	NKX2-5
MA0065.2	Pparg::Rxra	P37238	Pparg
MA0065.2	Pparg::Rxra	P28700	Rxra
MA0066.1	PPARG	P37231	PPARG
MA0067.1	Pax2	P32114	Pax2
MA0068.2	PAX4	O43316	PAX4
MA0069.1	PAX6	P26367	PAX6
MA0070.1	PBX1	P40424	PBX1
MA0071.1	RORA	P35398	RORA
MA0072.1	RORA(var.2)	P35398	RORA
MA0073.1	RREB1	Q92766	RREB1
MA0074.1	RXRA::VDR	P19793	RXRA
MA0074.1	RXRA::VDR	P11473	VDR
MA0075.3	PRRX2	Q99811	PRRX2
MA0076.2	ELK4	P28324	ELK4
MA0077.1	SOX9	P48436	SOX9
MA0078.1	Sox17	Q61473	Sox17
MA0079.4	SP1	P08047	SP1
MA0080.5	SPI1	P17947	SPI1
MA0081.2	SPIB	Q01892	SPIB
MA0083.3	SRF	P11831	SRF
MA0084.1	SRY	Q05066	SRY
MA0087.1	Sox5	P35710	Sox5
MA0088.2	ZNF143	P52747	ZNF143
MA0089.2	NFE2L1	Q14494	NFE2L1
MA0090.3	TEAD1	P28347	TEAD1
MA0091.1	TAL1::TCF3	P17542	TAL1
MA0091.1	TAL1::TCF3	P15923	TCF3
MA0092.1	Hand1::Tcf3	Q64279	Hand1
MA0092.1	Hand1::Tcf3	P15806	Tcf3
MA0093.3	USF1	P22415	USF1
MA0095.2	YY1	P25490	YY1
MA0098.3	ETS1	P14921	ETS1
MA0099.3	FOS::JUN	P01100	FOS
MA0099.3	FOS::JUN	P05412	JUN
MA0100.3	MYB	P10242	MYB
MA0101.1	REL	Q04864	REL
MA0102.4	CEBPA	P49715	CEBPA
MA0103.3	ZEB1	P37275	ZEB1
MA0104.4	MYCN	P04198	MYCN
MA0105.4	NFKB1	P19838	NFKB1
MA0106.3	TP53	P04637	TP53
MA0107.1	RELA	Q04206	RELA
MA0108.2	TBP	P20226	TBP
MA0109.1	HLTF	Q95216	HLTF
MA0111.1	Spz1	Q99MY0	Spz1
MA0112.3	ESR1	P03372	ESR1
MA0113.3	NR3C1	P04150	NR3C1
MA0114.4	HNF4A	P41235	HNF4A
MA0115.1	NR1H2::RXRA	P55055	NR1H2
MA0115.1	NR1H2::RXRA	P19793	RXRA
MA0116.1	Znf423	O08961	Znf423
MA0117.2	Mafb	P54841	Mafb
MA0119.1	NFIC::TLX1	P08651	NFIC
MA0119.1	NFIC::TLX1	P31314	TLX1
MA0122.3	Nkx3-2	P97503	Nkx3-2
MA0124.2	Nkx3-1	P97436	Nkx3-1
MA0125.1	Nobox	Q8VIH1	Nobox
MA0130.1	ZNF354C	Q86Y25	ZNF354C
MA0131.2	HINFP	Q9BQA5	HINFP
MA0132.2	PDX1	P52945	PDX1
MA0135.1	Lhx3	P50481	Lhx3
MA0136.2	ELF5	Q9UKW6	ELF5
MA0137.3	STAT1	P42224	STAT1
MA0138.2	REST	Q13127	REST
MA0139.1	CTCF	P49711	CTCF
MA0140.2	GATA1::TAL1	P15976	GATA1
MA0140.2	GATA1::TAL1	P17542	TAL1
MA0141.3	ESRRB	O95718	ESRRB
MA0142.1	Pou5f1::Sox2	P20263	Pou5f1
MA0142.1	Pou5f1::Sox2	P48432	Sox2
MA0143.4	SOX2	P48431	SOX2
MA0144.2	STAT3	P40763	STAT3
MA0145.3	TFCP2	Q12800	TFCP2
MA0146.2	Zfx	P17012	Zfx
MA0147.3	MYC	P01106	MYC
MA0148.4	FOXA1	P55317	FOXA1
MA0149.1	EWSR1-FLI1	F1JVV7	EWSR1/FLI1
MA0149.1	EWSR1-FLI1	F1JVV8	EWSR1/FLI1
MA0150.2	Nfe2l2	Q60795	Nfe2l2
MA0151.1	Arid3a	Q62431	Arid3a
MA0152.1	NFATC2	Q13469	NFATC2
MA0153.2	HNF1B	P35680	HNF1B
MA0154.4	EBF1	Q9UH73	EBF1
MA0155.1	INSM1	Q01101	INSM1
